soldier_acft_id,test_date,uic,mos,sex,rank,rank_category,pay_grade,age_at_test,test_type,profile,raw_plank,raw_strength_deadlift,raw_standing_power_throw,raw_hand_release_push_up,raw_sprint_drag_carry,raw_2mi_run,raw_alt_aerobic,plank_score,strength_deadlift_score,alt_aerobic_event,standing_power_throw_score,hand_release_push_up_score,sprint_drag_carry_score,2mi_run_score,alt_aerobic_score,total_score,test_status,deadlift_not_attempted,plank_not_attempted,power_throw_not_attempted,pushup_not_attempted,sprint_not_attempted
3F2CC077-6763-4BB1-BA46-C38E415AA8F7,9/30/2022,W00145,352N,M,CW2,Warrant,W2,38,DIAGNOSTIC,none,122,240,8,22,'02:03','17:47',,76,84,,65,72,79,78,,454,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
E6DF2E2F-D462-4834-9765-97DBCAB83AFA,4/22/2022,W00113,35A,M,CPT,Officer,O3,27,DIAGNOSTIC,none,180,290,9.6,45,'01:39','15:54',,90,88,,77,89,94,89,,527,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A7537060-31B2-46C8-A1B0-21FCB2A81BFE,5/18/2022,W00113,35N,M,SSG,NCO,E6,33,DIAGNOSTIC,none,178,290,8.9,46,'01:57','16:23',,91,89,,72,91,81,87,,511,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
F86D7363-F849-4133-B82D-E21759920521,9/15/2022,W00129,25B,M,SGT,NCO,E5,23,DIAGNOSTIC,none,240,340,10.5,50,'01:41','13:27',,100,100,,87,94,92,100,,573,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
DC1BEE8F-FEE8-4DE2-9BB2-97F82E566C5C,8/1/2022,W00145,35N,M,SPC,Enlisted,E4,27,DIAGNOSTIC,none,108,240,8.7,27,'02:09','15:52',,68,79,,69,72,68,89,,445,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
584E6AC3-E4BC-4B41-96F7-D6D6FD087320,9/15/2022,W00133,35S,M,SGT,NCO,E5,20,DIAGNOSTIC,none,232,220,7.7,39,'02:07','14:31',,100,77,,66,83,67,95,,488,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
A4CC605D-0993-4D66-B5DE-F65B48CDCC99,12/16/2022,W00112,35N,M,PV2,Enlisted,E2,18,DIAGNOSTIC,none,120,300,8.3,42,'02:05','18:41',,69,93,,71,87,68,69,,457,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
998398F4-11C4-411C-98DA-B66C4066FE14,10/12/2022,W00133,35S,M,SGT,NCO,E5,24,RECORD,none,92,340,11.5,41,'1:44','19:00',,62,100,,94,85,89,69,,499,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
9EEF89DF-5B3F-4EDF-8AD5-885CB33DB39E,4/15/2022,W00122,35N,M,SPC,Enlisted,E4,24,DIAGNOSTIC,none,95,200,11.7,22,'1:57','16:27',,63,71,,94,69,76,85,,458,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
FAD710DE-4329-4C40-A3B2-8FF578DBBABD,10/1/2022,W00129,26B   ,M,CPT,Officer,O3,30,RECORD,none,180,290,11.1,44,'01:47','15:54',,90,88,,90,88,88,89,,533,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
B1968C3A-0788-417C-80A3-3FA5B042293E,10/25/2022,W00114,35N,M,SGT,NCO,E5,25,RECORD,none,100,200,7.7,28,'2:07','19:05',,64,71,,64,72,69,68,,408,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
04C95A1F-0617-4C56-A7A0-D996C339011E,10/2/2022,W00112,25A,M,CPT,Officer,O3,38,RECORD,none,121,300,10.6,47,'01:48','14:47',,75,93,,89,94,93,97,,541,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
C5C595AE-F516-41D0-93F1-2CB2AC54699F,7/7/2022,W00114,35P,M,SSG,NCO,E6,42,DIAGNOSTIC,none,151,170,6.8,31,'2:37','19:05',,85,75,,61,83,61,71,,436,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
08117BCF-A05F-49FD-92C6-B056B56C45E0,8/31/2022,W00129,35N,M,SSG,NCO,E6,24,RECORD,none,190,340,14.4,30,'01:37','15:00',,92,100,,100,73,95,94,,554,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
CA2C2232-AFDC-45BD-8275-30151DCD0ED3,9/15/2022,W00101,42A,M,SGT,NCO,E5,24,DIAGNOSTIC,none,95,240,7.3,30,'2:02','18:31',,63,79,,62,73,72,71,,420,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
323F3C12-4EA4-4070-9298-32D685094F5E,9/28/2022,W00133,35S,M,SGT,NCO,E5,27,RECORD,none,121,260,10,20,'1:45','16:07',,72,84,,81,66,90,87,,480,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
B17F3193-8679-43D3-96DF-AE5DF891C534,5/6/2022,W00111,35N,M,SGT,NCO,E5,26,DIAGNOSTIC,none,145,280,9,48,'01:49','15:20',,78,88,,73,92,84,92,,507,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
59706330-78FD-42BD-BCFF-8366078DC1E9,10/3/2022,W00121,92Y,F,SFC,NCO,E7,32,RECORD,none,156,200,5.5,38,'02:28','15:46',,85,96,,73,96,84,99,,533,PASS,FALSE,FALSE,FALSE,FALSE,FALSE
3B2FEAC2-41F4-46F0-9A2F-33010BD5D493,9/16/2022,W00111,352N,F,CW3,Warrant,W3,40,DIAGNOSTIC,none,136,120,2.6,22,'04:09','22:22',,80,60,,0,90,18,62,,310,FAIL,FALSE,FALSE,FALSE,FALSE,FALSE
